ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,latest_value,footnotes,nature,Mean
32,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,4,2005,2014,"[2005, 2010, 2012, 2014]",NA,NA,NA,NA,NA,8015,NA,NA,NA,NA,10543.331,NA,11895.765,NA,12300.2,NA,NA,NA,NA,12300.2,Party not included in Annex I to the Convention (UNFCCC),C: Country data,1688.574
61,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),356,India,4,34,Southern Asia,Country,79.3608464,22.34642074,IND,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,2,2000,2010,"[2000, 2010]",1523.76656,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100.84973,NA,NA,NA,NA,NA,NA,NA,NA,2100.84973,Party not included in Annex I to the Convention (UNFCCC),C: Country data,1812.308145
22,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),76,Brazil,4,5,South America,Country,-53.08432878,-10.77668561,BRA,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,17,2000,2016,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",725.16214,744.08415,760.9631,778.78571,815.88721,830.17687,837.35538,843.61861,872.59278,858.58547,921.0551,954.16329,985.90461,1030.98567,1062.89704,1041.67699,1014.70238,NA,NA,1014.70238,Party not included in Annex I to the Convention (UNFCCC),C: Country data,886.9762647
126,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),694,Sierra Leone,4,11,Western Africa,Country,-11.78306584,8.568604164,SLE,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,6,2000,2005,"[2000, 2001, 2002, 2003, 2004, 2005]",329.79837,511.1603,684.25429,684.29956,842.75379,845.09326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845.09326,Party not included in Annex I to the Convention (UNFCCC),C: Country data,649.5599283
116,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),410,Republic of Korea,4,30,Eastern Asia,Country,127.8610254,36.45201023,KOR,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,17,2000,2016,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",501.33534,514.45822,536.09911,546.42465,555.14369,559.05909,564.42704,579.42736,592.70718,597.58332,657.5159,682.98564,687.09184,696.85331,690.88485,692.86137,693.94265,NA,NA,693.94265,Party not included in Annex I to the Convention (UNFCCC),C: Country data,608.7529741
87,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),484,Mexico,4,13,Central America,Country,-102.5148166,23.93378032,MEX,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,14,2000,2013,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",525.63824,517.09789,513.51459,523.48021,552.85552,561.5401,581.68921,610.55723,643.22327,623.1019,638.60589,650.40717,647.10066,605.88732,NA,NA,NA,NA,NA,605.88732,Party not included in Annex I to the Convention (UNFCCC),C: Country data,585.3356571
62,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),360,Indonesia,4,35,South-Eastern Asia,Country,113.9174,-0.994582204,IDN,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,1,2000,2000,[2000],554.33348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.33348,Party not included in Annex I to the Convention (UNFCCC),C: Country data,554.33348
63,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),364,Iran (Islamic Republic of),5,127,Southern Asia (excluding India),Country,54.19766348,32.74370885,IRN,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,1,2000,2000,[2000],483.66917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.66917,Party not included in Annex I to the Convention (UNFCCC),C: Country data,483.66917
64,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),364,Iran (Islamic Republic of),5,127,Southern Asia (excluding India),Country,54.19766348,32.74370885,IRN,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,1,2000,2000,[2000],483.66917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.66917,Party not included in Annex I to the Convention (UNFCCC),C: Country data,483.66917
123,13,Goal 13,Take urgent action to combat climate change and its impacts,13.2,"Integrate climate change measures into national policies, strategies and planning",C130202,13.2.2,Total greenhouse gas emissions per year,2021.Q2.G.03,"['climate change', 'environmental protection', 'environmental policy', 'global warming', 'carbon dioxide']",EN_ATM_GHGT_NAIP,Total greenhouse gas emissions without LULUCF for non-Annex I Parties (Mt CO₂ equivalent),682,Saudi Arabia,4,145,Western Asia,Country,44.54763347,24.12594211,SAU,1,1,,TCO2E,Million tons of CO2 equivalent,EN_ATM_GHGT_NAIP,,3,2000,2012,"[2000, 2010, 2012]",296.05987,NA,NA,NA,NA,NA,NA,NA,NA,NA,525.33215,NA,548.26255,NA,NA,NA,NA,NA,NA,548.26255,Party not included in Annex I to the Convention (UNFCCC),C: Country data,456.5515233
